latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.21166;4.413513;201402161442+0100;19463
51.21124;4.412204;201402161452+0100;16224
51.21425;4.4116344;201402161511+0100;3430401
51.20461;4.5641227;201402161631+0100;59246
51.061043;4.979588;201402161702+0100;204
51.04982;4.9479623;201402161710+0100;1819349
51.04982;4.9479628;201402161744+0100;139
51.016243;4.946042;201402161756+0100;213
51.04982;4.947963;201402161803+0100;8012759
51.04982;4.947963;201402162024+0100;123379
51.143227;4.9483285;201402162047+0100;604081
51.20533;4.5624633;201402162118+0100;40175
51.214237;4.4116316;201402162144+0100;37463743
51.21883;4.4044056;201402170814+0100;3267357
51.218464;4.4045153;201402170913+0100;543966
51.21846;4.404464;201402170926+0100;32645701
51.214245;4.4115868;201402171845+0100;15629633
51.214264;4.411642;201402172316+0100;33103174
51.207115;4.3869767;201402180840+0100;1664118
51.218456;4.4046087;201402180920+0100;32468122
51.21655;4.4075785;201402181827+0100;1456
51.217407;4.410841;201402181834+0100;238823
51.21426;4.4116073;201402181846+0100;48578796
51.218834;4.404321;201402190825+0100;4657295
51.21862;4.4041543;201402190948+0100;16278098
51.215992;4.4082384;201402191806+0100;4705858
51.214264;4.4116116;201402191933+0100;46698330
51.218853;4.4042583;201402200841+0100;638056
51.21848;4.4046035;201402200858+0100;31266047
51.2165;4.407509;201402201752+0100;58100
51.21759;4.4108686;201402201759+0100;1372580
51.21425;4.411565;201402201829+0100;50113363
51.218933;4.40435;201402210829+0100;6507020
51.218456;4.4045925;201402211024+0100;6030170
51.218678;4.4024086;201402211208+0100;131333
51.218597;4.4041767;201402211214+0100;20258984
51.21749;4.4108224;201402211759+0100;249753
51.2143;4.4115925;201402211808+0100;55707283
51.1847;4.4361296;201402220958+0100;12417581
51.183483;4.4367824;201402221329+0100;55882
51.182224;4.437284;201402221336+0100;180459
51.180412;4.4334393;201402221348+0100;1521391
51.190666;4.4241853;201402221419+0100;20947
51.20152;4.41311;201402221425+0100;155697
51.207436;4.4201097;201402221432+0100;543186
51.219746;4.373472;201402221446+0100;2682
51.21765;4.3697495;201402221453+0100;9327332
51.22007;4.3798494;201402221737+0100;240416
51.21562;4.398909;201402221747+0100;635
51.207214;4.388298;201402221806+0100;9894120
51.21008;4.389115;201402222056+0100;2654
51.21266;4.3925714;201402222102+0100;2420323
51.218937;4.39741;201402222155+0100;185532
51.22018;4.3985662;201402222202+0100;2537943
51.22124;4.3996835;201402222252+0100;2223375
51.221195;4.4004364;201402222336+0100;713031
51.2212;4.400435;201402222354+0100;181073
51.221195;4.400434;201402230003+0100;2560417
51.220963;4.400912;201402230053+0100;1112787
51.221184;4.400416;201402230116+0100;359029
51.22101;4.4007688;201402230130+0100;4407157
51.221703;4.4005775;201402230249+0100;75551144
51.058437;3.8553896;201402232355+0100;136311
51.19111;4.4234476;201402240102+0100;222504
51.21424;4.4115553;201402240137+0100;18619132
51.194817;4.4179087;201402240702+0100;1139132
51.19481;4.417983;201402240726+0100;322894
51.21424;4.4115863;201402240744+0100;1620767
51.218513;4.404299;201402240817+0100;5495119
51.20721;4.3871274;201402241002+0100;62998
51.207027;4.387426;201402241009+0100;138630
51.20696;4.386703;201402241015+0100;152
51.20696;4.386703;201402241022+0100;61071
51.21855;4.404257;201402241052+0100;14640185
51.22772;4.4017725;201402241503+0100;1275200
51.226917;4.411182;201402241529+0100;92274
51.21851;4.404317;201402241542+0100;4751684
51.21728;4.405518;201402241709+0100;19885
51.216522;4.407549;201402241716+0100;675
51.21715;4.410649;201402241723+0100;765630
51.21427;4.41157;201402241746+0100;50998959
51.216278;4.3940763;201402250809+0100;28596751
51.21634;4.3940783;201402251612+0100;3328811
51.216957;4.410363;201402251718+0100;308164
51.210686;4.4151006;201402260647+0100;10404
51.211296;4.411755;201402260654+0100;11960
51.214256;4.4115715;201402260707+0100;4350579
51.21633;4.394094;201402260832+0100;10484550
51.21634;4.3940268;201402261145+0100;20052735
51.216255;4.4074626;201402261728+0100;5308038
51.214294;4.4114785;201402261905+0100;46725992
